authorName,hIndex
Mostafa A. Bassiouni,0
T. M. Hsieh,0
D. W. Shieh,0
K. F. Jea,0
Paula B. Hawthorn,0
Gene T. J. Wuu,0
Alan Weiss,0
Gary R. Sager,0
Horst Kinzinger,0
Daniel Teichroew,0
Ernest A. Hershey III,0
Satish K. Tripathi,0
Glenn Ricart,0
Jinhai Yang,0
Atreyi Kankanhalli,0
Kutluhan Erol,0
Su-Shing Chen,0
Sibel Adali,0
Anupam Joshi,0
Marina Moscarini,0
Charles P. Bourne,0
Mark D. Dunlop,0
Tak Woon Yan,0
Matthew Jacobsen,0
Lara D. Catledge,0
James E. Pitkow,0
Martijn Koster,0
Mark Deppe,0
Sara Comai,0
Ernesto Damiani,0
Giancarlo Martella,0
Tiziana Catarci,0
Chris Larson,0
Gladys Chow,0
Kuorong Chiang,0
Michael Minock,0
Hua Yang,0
James S. Ribeiro,0
Kenneth A. Kaufman,0
Sushil Da Silva,0
Hasanat M. Dewan,0
David Ohsie,0
J. L. Kuhns,0
Martin Dowd,0
Chul E. Kim,0
Richard M. Soland,0
Lewis T. Reinwald,0
Lawrence Paul Horwitz,0
Christoph M. Hoffmann,0
H. Edmund Stiles,0
Robert A. Wagner,0
Michael J. Fischer,0
Scott F. Walecka,0
T. Y. Cheung,0
Roy Lowrance,0
Forest Baskett,0
Fernando G. Palacios,0
Ruth Silverman,0
Nathan S. Netanyahu,0
David M. Mount,0
Angela Y. Wu,0
Sunil Arya,0
Miroslaw Truszczynski,0
V. Wiktor Marek,0
A. Mahanti,0
A. Bagchi,0
Theodosios Pavlidis,0
Steven L. Horowitz,0
Dennis F. Kibler,0
Ramón López de Mántaras,0
Alan C. Schultz,0
Connie Loggia Ramsey,0
J. Michael Fitzpatrick,0
Michael Lebowitz,0
Frank Kappe,0
Keith Andrews,0
Michael B. Monagan,0
Bruce W. Char,0
Gregory J. Fee,0
Keith O. Geddes,0
Richard Cole 0001,0
Esko Ukkonen,0
Dina Q. Goldin,0
Damian Niwinski,0
Emmanuel Waller,0
Sridhar Ramaswamy,0
G. Nigel Martin,0
Yoav Shoham,0
Jean Gordon,0
Charles J. Rieger III,0
C. Raymond Perrault,0
Daniele Nardi,0
David E. Wilkins,0
Daniel Kuokka,0
Yolanda Gil,0
Gordon L. Elliott,0
Kurt Konolige,0
Sandra Marcus,0
Peter H. Schmitt,0
Udo Pletat,0
Ulrich Hedtstück,0
Christoph Beierle,0
Kai-Fu Lee,0
Sanjoy Mahajan,0
Richard A. O'Keefe,0
Alan Mycroft,0
Bertram C. Bruce,0
Ronald M. Kaplan,0
Henry S. Thompson,0
Donald A. Norman,0
Martin Kay,0
Hans J. Berliner,0
Menachem Magidor,0
Kenneth D. Forbus,0
David W. Etherington,0
Subbarao Kambhampati,0
Don-Min Tsou,0
Lawrence T. Kou,0
Debasis Mitra,0
Donald B. Johnson,0
Claus-Peter Schnorr,0
Jérôme Siméon,0
Vassilis Christophides,0
Roy E. Marsten,0
Svend-Erik Clausen,0
Konrad H. Quitzow,0
Manfred R. Klopprogge,0
Eckhard D. Falkenberg,0
Ahmed Guessoum,0
Larry S. Davis,0
Yeong-Shiou Hsiao,0
Sang Hyuk Son,0
W. Teich,0
Hans-Otto Leilich,0
J. S. Lie,0
Günther Stiege,0
H. Auer,0
S. Seehusen,0
Heinz Schweppe,0
Hans Christoph Zeidler,0
Wolfgang Hell,0
Kangsheng Zeng,0
Ken J. McDonell,0
Gianluca Califano,0
Jon D. Patrick,0
Christian Bader,0
Cory Devor,0
C. Robert Carlson,0
J. T. Park,0
Klaus Hülsmann,0
Hans-Dieter Ehrich,0
Perdita Löhr-Richter,0
Martin Gogolla,0
Gregor Engels,0
Uwe Hohenstein,0
Mary Mitchell,0
Vishu Krishnamurthy,0
Solomon Eyal Shimony,0
Moshe Even-Chaime,0
Roger H. L. Chiang,0
Gerald Candela,0
Donna Harman,0
Pietro Torasso,0
Evan P. Harris,0
Julie Basu,0
Peter Baumann,0
Praveen Seshadri,0
James Harland,0
Jayen Vaghani,0
Zoltan Somogyi,0
Tim S. Leask,0
Panos Constantopoulos,0
William Mettrey,0
Arturo Pizano,0
Venkat N. Gudivada,0
C. Thomas Wilkes,0
John R. Nicol,0
Naveen Ashish,0
Ming-Ju Lin,0
Inge Thyssens,0
Marc Gemis,0
Vijay M. Sarathy,0
Khaled K. Al-Taha,0
Markus Tresch,0
Vincent Ventrone,0
Jim Melton,0
Andrew Eisenberg,0
George Forman,0
Soon Myoung Chung,0
John L. Berg,0
Alan Emtage,0
Thomas F. Keefe,0
Ralph Kimball,0
Kevin Strehlo,0
Malú Castellanos,0
Manuel García-Solaco,0
James N. Etheredge,0
Jint Waramahaputi,0
Mark Sullivan,0
Martin Kracker,0
Minhwa Chung,0
Dan I. Moldovan,0
Changhwa Lin,0
Wing Lee,0
Amitava Dutta,0
Hirotani Kitano,0
Mark J. Llewellyn,0
Lawrence O'Gorman,0
Martin E. Hopkins,0
Marc A. Auslander,0
Gregory J. Chaitin,0
Marta Rukoz,0
Lin S. Woo,0
Ulrich Herzog,0
Andreas Wolf,0
Gisbert Dröge,0
Yim Yung Leung,0
János Demetrovics,0
A. J. M. van Gasteren,0
W. H. J. Feijen,0
Donald F. Stanat,0
Michael F. Plass,0
Bengt Aspvall,0
Xubo Zhang,0
Vishv M. Malhotra,0
S. N. Maheshwari,0
M. Pramodh Kumar,0
Jeffrey K. Uhlmann,0
Vadam Kagan,0
David L. Dill,0
Nadine Lerat,0
Randal C. Nelson,0
Clifford A. Shaffer,0
Bernhard Eisenbarth,0
Nivio Ziviani,0
Nicola M. Morfuni,0
Arcot Rajasekar,0
Chris Mellish,0
Chacko T. Abraham,0
Dwijendra K. Ray-Chaudhuri,0
William Ward Armstrong,0
Thomas R. Addis,0
Tak W. Yan,0
Der Her Lo,0
M. V. Ramakrishna,0
J. K. Metzger,0
Michael Wilens,0
K. V. Bapa Rao,0
Anil K. Garg,0
Indrakshi Ray,0
Gordon McLean Jr.,0
Murray Edelberg,0
Kai C. Wong,0
Ryohei Nakano,0
Steve Kloster,0
Marek Piwowarski,0
Alan R. Aronson,0
George L. Sicherman,0
Robert E. Webber,0
Theodore Bially,0
Olivera Marjanovic,0
Anoop Gupta,0
Albert Chang,0
Wayne Sawdon,0
Gregory Chan,0
Yoni Malachi,0
Rivka Ladin,0
Sanjay Ghemawat,0
Bruce Jay Nelson,0
Sherri G. Menees,0
Robert N. Sidebotham,0
Michael J. West,0
Michael L. Kazar,0
Gisela Roth,0
Wolfgang Putz,0
Klaus Süllow,0
Ingrid Gabel-Becker,0
Marlies Ockenfeld,0
G. M. Stacey,0
Zsuzsanna Markusz,0
A. A. Kaposi,0
Bahram Niamir,0
Joel Bentolila,0
Georg Klinker,0
Michael Grimes,0
Serge Genetet,0
Simon S. Lam,0
Thomas Y. C. Woo,0
David M. Combs,0
Lawrence M. Fagan,0
Ingo Ruhmann,0
Mark May 0002,0
Joachim Diederich,0
Alun D. Preece,0
Damien Ehret,0
Ming Tan,0
Larry J. Eshelman,0
Ritu Agarwal,0
Mohan Tanniru,0
Peter A. Buhr,0
Richard A. Stroobosscher,0
Walter F. Tichy,0
D. A. Turner,0
Hans-Juergen Boehm,0
Simon R. Wiseman,0
Chidanand Apté,0
Mark Holland,0
Ling Liu 0001,0
Norbert Fuhr,0
Thomas Rölleke,0
Dawei Luo,0
Zhongzhi Shi,0
O. Qi Wu,0
Matts Ahlsen,0
Stefan Britts,0
Lars Söderlund 0002,0
Evaggelia Pitoura,0
Karen Kukich,0
Bernard M. E. Moret,0
Theodore A. Linden,0
P. A. Lee,0
John Leslie King,0
Edward L. Schrems,0
Volker Gaede,0
Sharad Wagle,0
Charles W. Krueger,0
John G. Cleary,0
Nancy G. Leveson,0
Franz Aurenhammer,0
Oliver J. Sharp,0
George E. Collins,0
M. Dodd,0
P. S. T. Yuen,0
Thomas R. Wilcox,0
Richard W. Conway,0
Amaryllis Deliyanni,0
Charles R. Litecky,0
David Boggs,0
Francis A. Williams,0
Tad B. Pinkerton,0
Thomas J. Sager,0
Gregory K. Wallace,0
Frank Rubin,0
William L. Maxwell,0
Bruce Hahn,0
Keith W. Miller,0
Stephen K. Park,0
Richard E. Mayer,0
